name,definition,difficulty
damals,,A2
die Dame,,A2
darauf,,A2
darüber,,A2
dass,,A2
die Datei,,A2
denken,,A2
deshalb,,A2
deutlich,,A2
dick,,A2
das Ding,,A2
direkt,,A2
die Disco,,A2
die Disko,,A2
diskutieren,,A2
doch,,A2
dorther,,A2
dorthin,,A2
dringend,,A2
drinnen,,A2
drüben,,A2
dumm,,A2
dunkel,,A2
dünn,,A2
das E-Book,,A2
echt,,A2
egal,,A2
der Ehepartner,,A2
eigen,,A2
eigentlich,,A2
ein Mal,,A2
einige,,A2
das Einkaufszentrum,,A2
einmal,,A2
einpacken,,A2
eintragen,,A2
einverstanden,,A2
einzeln,,A2
einziehen,,A2
das Eis,,A2
endlich,,A2
eng,,A2
das Erdgeschoss,,A2
die Erfahrung,,A2
erinnern,,A2
die Erlaubnis,,A2
die Ermäßigung,,A2
erreichen,,A2
erst,,A2
etwas,,A2
das Fach,,A2
der Fahrplan,,A2
fallen,,A2
der Fan,,A2
fantastisch,,A2
fast,,A2
faul,,A2
die Feier,,A2
das Fenster,,A2
Ferien,,A2
das Fest,,A2
das Festival,,A2
fett,,A2
fit,,A2
fleißig,,A2
der Flohmarkt,,A2
der Flug,,A2
der Fluss,,A2
der Fotoapparat,,A2
fotografieren,,A2
freiwillig,,A2
die Freundin,,A2
freundlich,,A2
frisch,,A2
froh,,A2
früh,,A2
die Fundsache,,A2
furchtbar,,A2
fühlen,,A2
der Führerschein,,A2
die Gabel,,A2
ganz,,A2
die Garage,,A2
gefährlich,,A2
das Gegenteil,,A2
gegenüber,,A2
das Gehalt,,A2
die Geldbörse,,A2
genau,,A2
genug,,A2
das Gericht,,A2
das Gerät,,A2
die Geschichte,,A2
das Geschirr,,A2
gesund,,A2
die Gesundheit,,A2
das Gewitter,,A2
die Gitarre,,A2
die Grippe,,A2
der Hals,,A2
der Hamburger,,A2
das Handtuch,,A2
hart,,A2
die Hauptstadt,,A2
der Haushalt,,A2
das Heft,,A2
die Heizung,,A2
heiß,,A2
das Hemd,,A2
her,,A2
her-,,A2
heraus,,A2
herein,,A2
herstellen,,A2
herunterladen,,A2
der Himmel,,A2
hin,,A2
hin-,,A2
hinter,,A2
hoffen,,A2
hoffentlich,,A2
die Homepage,,A2
die Hose,,A2
husten,,A2
das Händetuch,,A2
hängen,,A2
hässlich,,A2
die Idee,,A2
informieren,,A2
die Insel,,A2
das Instrument,,A2
intelligent,,A2
das Interesse,,A2
interessieren,,A2
das Interview,,A2
die Jeans,,A2
jemand,,A2
joggen,,A2
die Jugendherberge,,A2
der Kalender,,A2
kalt,,A2
die Kamera,,A2
die Katze,,A2
das Kaufhaus,,A2
der Keller,,A2
die Kenntnis,,A2
die Kette,,A2
die Kirche,,A2
klappen,,A2
das Klavier,,A2
das Kleid,,A2
der Klub,,A2
klug,,A2
die Kollegin,,A2
komisch,,A2
der Kontakt,,A2
kontrollieren,,A2
das Konzert,,A2
die Kosmetik,,A2
kostenlos,,A2
das Krankenhaus,,A2
die Krankenkasse,,A2
die Krankheit,,A2
der Kredit,,A2
die Kreuzung,,A2
der Krimi,,A2
die Kultur,,A2
die Kunst,,A2
der Käse,,A2
der Körper,,A2
kühl,,A2
kündigen,,A2
die Lampe,,A2
die Landschaft,,A2
langweilig,,A2
der Laptop,,A2
lassen,,A2
leer,,A2
leidtun,,A2
leihen,,A2
die Liebe,,A2
liefern,,A2
der Link,,A2
die Lust,,A2
der Löffel,,A2
die Lüge,,A2
lügen,,A2
der Magen,,A2
die Mail,,A2
die Mailbox,,A2
mal,,A2
malen,,A2
manch,,A2
manchmal,,A2
die Mannschaft,,A2
der Mantel,,A2
der Markt,,A2
das Medikament,,A2
meinen,,A2
die Meinung,,A2
meistens,,A2
die Menge,,A2
merken,,A2
die Messe,,A2
das Messer,,A2
mindestens,,A2
das Mineralwasser,,A2
der Mitarbeiter,,A2
das Mittagessen,,A2
das Mittel,,A2
das Mobiltelefon,,A2
die Mode,,A2
modern,,A2
der Motor,,A2
der Motorroller,,A2
das Museum,,A2
die Musik,,A2
der Müll,,A2
die Mütze,,A2
der Nachbar,,A2
die Nachbarin,,A2
die Nachricht,,A2
nass,,A2
die Natur,,A2
natürlich,,A2
nebelig,,A2
